Caribbean Netherlands,26223,328
Palau,18094,460
Cook Islands,17564,240
Anguilla,15003,90
Tuvalu,11792,30
Wallis & Futuna,11239,140
Nauru,10824,20
Saint Barthelemy,9877,21
Saint Helena,6077,390
Saint Pierre & Miquelon,5794,230
Montserrat,4992,100
Falkland Islands,3480,12170
Niue,1626,260
Tokelau,1357,10
Holy See,801,0
